HUD_ID,PROJECT,PROJ_ADD,PROJ_CTY,PROJ_ST,PROJ_ZIP,N_UNITS,LI_UNITS,
"RIA2006060","WICKFORD VILLAGE","24 DAYTON CT","NORTH KINGSTOWN",RI,"2852",129,129,
"RIA2006065","WILLIAMS-WOODS PLACE","170 OCEAN ST","PROVIDENCE",RI,"2905",65,65,
"RIA2006070","HILLSIDE VILLAGE","821 PLAINFIELD ST","PROVIDENCE",RI,"2909",42,42,
"RIA2006090","UNIVERSITY HEIGHTS II","24 THOMAS OLNEY CMN","PROVIDENCE",RI,"2904",168,168,
"RIA2007005","BRIDGHAM MANOR","359 CARPENTER ST","PROVIDENCE",RI,"2909",88,88,
"RIA2007010","FIELDSTONE APTS","125 KNOWLESWAY EXTENTION","NARRAGANSETT",RI,"",24,24,
"RIA2007015","HARRIS HOUSE","28 HARRIS AVE","CRANSTON",RI,"2920",133,132,
"RIA2007020","HILLCREST VILLAGE","40 LEANDER ST","PROVIDENCE",RI,"2909",130,129,
"RIA2007030","MT VERNON/ TEMPLE NORTH APTS","98 RIVULET ST","WOONSOCKET",RI,"2895",124,123,
"RIA2007035","MUMFORD MANOR","39 FAREWELL ST","NEWPORT",RI,"2840",34,34,
"RIA2007040","POCASSET MANOR","20 KELLEY ST","PROVIDENCE",RI,"2909",82,82,
"RIA2007045","RIVERSIDE VILLAGE","1 FLAT ST","CUMBERLAND",RI,"2864",88,88,
"RIA2007900","SUTTERFIELD APTS","86 E DR","PROVIDENCE",RI,"2904",144,144,
"RIA2008005","SOUTHSIDE GATEWAYS","280 PUBLIC ST","PROVIDENCE",RI,"2905",50,50,
"RIA2008010","HERITAGE VILLAGES PHASES I & II","552 DEVILS FOOT RD","NORTH KINGSTOWN",RI,"2852",204,199,
"RIA2008015","LEDGES AT JOHNSTON","175 FEDERAL WAY","JOHNSTON",RI,"2919",300,60,
"RIA2008020","NEW CANONCHET CLIFFS","825 MAIN ST","HOPE VALLEY",RI,"2832",114,114,
"RIA2008025","PARKIS PLACE AFFORDABLE HOUSING","9 PARKIS AVE","PROVIDENCE",RI,"2907",106,106,
"RIA2008030","MEADOWS","2 VILLAGE WAY","NORTH SMITHFIELD",RI,"2896",80,80,
"RIA2008035","VILLA VICTORIAN","25 PARKIS AVE","PROVIDENCE",RI,"2907",40,40,
"RIA2009005","NEWPORT HEIGHTS 4","121 HILLSIDE AVE","NEWPORT",RI,"2840",37,37,
"RIA2009010","SWEETBRIAR APTS","16 SWEET BRIAR RD","BARRINGTON",RI,"2806",47,47,
"RIA2009015","BOURNE MILL APTS","1 MILL ST","TIVERTON",RI,"2878",166,67,
"RIA2010005","315 PARK AVENUE","315 PARK AVE","CRANSTON",RI,"2905",71,70,
"RIA2010010","BEAR HILL VILLAGE","156 BEAR HILL RD","CUMBERLAND",RI,"2864",126,122,
"RIA2010012","BROAD STREET REVITALIZATION","145 CHESTER AVE","PROVIDENCE",RI,"2907",25,25,
"RIA2010015","CARLETON COURT","211 CARLETON ST","PROVIDENCE",RI,"2908",86,86,
"RIA2010020","CHATEAU CLARE","16 GREENE ST","WOONSOCKET",RI,"2895",88,85,
"RIA2010025","CODDINGTON POINT","231 MAPLE AVE","NEWPORT",RI,"2840",32,32,
"RIA2010030","COLONIAL VILLAGE APTS","60 SCHOOL ST","NORTH SMITHFIELD",RI,"2896",75,68,
"RIA2010040","GATEWOOD APTS","403 MENDON RD","NORTH SMITHFIELD",RI,"2896",60,58,
"RIA2010045","HARDIG BROOK VILLAGE","331 CENTERVILLE RD","WARWICK",RI,"2886",100,97,
"RIA2010050","INDIAN RUN VILLAGE","681 KINGSTOWN RD","WAKEFIELD",RI,"2879",115,115,
"RIA2010055","PARKIS HISTORIC PROPERTIES","55 PARKIS AVE","PROVIDENCE",RI,"2907",22,22,
"RIA2010060","SANDYWOOD FARM","150 PERSIMMON DR","TIVERTON",RI,"2878",50,40,
"RIA2010062","TRINITY/PRINCETON PLACE","265 ELMWOOD AVE","PROVIDENCE",RI,"2907",41,41,
"RIA2011005","BLACKSTONE VALLEY GATEWAYS","204 BROAD ST","PAWTUCKET",RI,"2860",33,33,
"RIA2011010","KINGSTOWN CROSSINGS I","5 MCCONNELL CT","NORTH KINGSTOWN",RI,"2852",58,58,
"RIA2011015","SMITH HILL VISIONS II","14 OSBORN ST","PROVIDENCE",RI,"2908",52,52,
"RIA2011020","CLOCKTOWER","200 TINKHAM LN","HARRISVILLE",RI,"2830",47,36,
"RIA2011900","CORNPLANTER ROW","482 PINE ST","PROVIDENCE",RI,"2907",36,36,
"RIA2012010","ANTHONY HOUSE","51 MIDDLE RD","PORTSMOUTH",RI,"2871",70,70,
"RIA2012015","COVENTRY MEADOWS","22 EDITH ST","COVENTRY",RI,"2816",44,44,
"RIA2012020","WOONSOCKET VILLAGE","182 CUMBERLAND ST","WOONSOCKET",RI,"2895",122,122,
"RIA2012511","OPEN DOORS","485 PLAINFIELD ST","PROVIDENCE",RI,"2909",19,19,
"RIA2013001","ESSEX VILLAGE","26 FISCHER DR","NORTH KINGSTOWN",RI,"2852",108,96,
"RIA2013002","KINGSTOWN CROSSINGS II","30 NAVY DR","NORTH KINGSTOWN",RI,"2852",46,46,
"RIA2013003","KINGS GRANT APTS","1 STATE ST","NORTH KINGSTOWN",RI,"2852",156,139,
"RIA2013004","CATHEDRAL SQUARE II","5 CATHEDRAL SQ","PROVIDENCE",RI,"2903",93,93,
"RIA2013005","OLNEY VILLAGE APTS","50 JULIAN ST","PROVIDENCE",RI,"2909",40,40,
"RIA2013006","GLENARK MILLS","104 SAYLES ST","WOONSOCKET",RI,"2895",22,22,
"RIA2014005","DEERFIELD COMMONS","190 ST PAUL ST","NORTH SMITHFIELD",RI,"2896",80,80,
"RIA2014160","FOUR SISTERS","41 HARVARD AVE","PROVIDENCE",RI,"2907",96,96,
"RIA2014166","GRACE CHURCH APTS","280 WASHINGTON ST","PROVIDENCE",RI,"2903",100,100,
